keyType,keyName,keySavedLocation,keyCreationDate

Public,ece_dolcek_.txt,C:\Users\Gorke\OneDrive\Masaüstü\ece_dolcek_.txt,6.01.2024 23:28:42
Private,ece_dolcek_.txt,C:\Users\Gorke\OneDrive\Masaüstü\ece_dolcek_.txt,6.01.2024 23:28:48
